team,season,wins,losses,pace,ortg,drtg,net_rating,srs,threepar,ftr,ft_fga,games,win_pct,spacing_index
Indiana Pacers*,2020,45.0,28.0,98.9,110.0,108.0,2.0,1.63,0.317,0.216,0.17,73.0,0.6164383561643836,0.101
Los Angeles Clippers*,2020,49.0,23.0,101.5,113.9,107.6,6.3,6.66,0.375,0.295,0.233,72.0,0.6805555555555556,0.08000000000000002
Los Angeles Lakers*,2020,52.0,19.0,100.9,112.0,106.3,5.7,6.28,0.358,0.276,0.201,71.0,0.7323943661971831,0.08199999999999996
Memphis Grizzlies,2020,34.0,39.0,102.8,109.2,110.3,-1.1,-0.91,0.346,0.24,0.183,73.0,0.4657534246575342,0.10599999999999998
Miami Heat*,2020,44.0,29.0,98.3,112.5,109.5,3.0,2.59,0.419,0.299,0.234,73.0,0.6027397260273972,0.12
Milwaukee Bucks*,2020,56.0,17.0,105.1,112.4,102.9,9.5,9.41,0.428,0.271,0.201,73.0,0.7671232876712328,0.15699999999999997
Minnesota Timberwolves,2020,19.0,45.0,103.4,108.1,112.2,-4.1,-4.02,0.433,0.277,0.209,64.0,0.296875,0.15599999999999997
New Orleans Pelicans,2020,30.0,42.0,103.7,110.7,111.9,-1.2,-0.55,0.403,0.256,0.186,72.0,0.4166666666666667,0.14700000000000002
New York Knicks,2020,21.0,45.0,98.6,106.5,113.0,-6.5,-6.72,0.318,0.263,0.182,66.0,0.3181818181818182,0.05499999999999999
Oklahoma City Thunder*,2020,44.0,28.0,98.8,110.8,108.8,2.0,2.33,0.353,0.29,0.231,72.0,0.6111111111111112,0.063
Orlando Magic*,2020,33.0,40.0,98.6,108.5,109.5,-1.0,-0.93,0.364,0.256,0.198,73.0,0.4520547945205479,0.10799999999999998
Philadelphia 76ers*,2020,43.0,30.0,99.0,111.3,109.0,2.3,2.25,0.36,0.255,0.193,73.0,0.589041095890411,0.10499999999999998
Phoenix Suns,2020,34.0,39.0,101.3,111.7,111.4,0.3,0.56,0.361,0.271,0.226,73.0,0.4657534246575342,0.08999999999999997
Portland Trail Blazers*,2020,35.0,39.0,100.7,113.7,114.8,-1.1,-0.61,0.374,0.242,0.194,74.0,0.47297297297297297,0.132
Sacramento Kings,2020,31.0,41.0,98.9,110.2,112.2,-2.0,-1.59,0.395,0.23,0.177,72.0,0.4305555555555556,0.165
San Antonio Spurs,2020,32.0,39.0,100.5,112.4,113.5,-1.1,-0.65,0.318,0.262,0.212,71.0,0.4507042253521127,0.055999999999999994
Toronto Raptors*,2020,53.0,19.0,100.9,111.1,105.0,6.1,5.97,0.421,0.264,0.21,72.0,0.7361111111111112,0.15699999999999997
Utah Jazz*,2020,44.0,28.0,98.6,112.3,109.9,2.4,2.52,0.414,0.268,0.208,72.0,0.6111111111111112,0.14599999999999996
Washington Wizards,2020,25.0,47.0,102.7,110.9,115.5,-4.6,-5.24,0.358,0.27,0.213,72.0,0.3472222222222222,0.08799999999999997
Atlanta Hawks,2021,20.0,47.0,103.0,107.2,114.8,-7.6,-7.71,0.398,0.258,0.204,67.0,0.29850746268656714,0.14
Boston Celtics*,2021,48.0,24.0,99.5,113.3,107.0,6.3,5.83,0.386,0.259,0.207,72.0,0.6666666666666666,0.127
Brooklyn Nets*,2021,35.0,37.0,101.4,108.9,109.5,-0.6,-1.01,0.423,0.267,0.199,72.0,0.4861111111111111,0.15599999999999997
Charlotte Hornets,2021,23.0,42.0,95.8,106.3,113.3,-7.0,-7.03,0.399,0.252,0.188,65.0,0.35384615384615387,0.14700000000000002
Chicago Bulls,2021,22.0,43.0,99.7,106.7,109.8,-3.1,-4.0,0.396,0.231,0.175,65.0,0.3384615384615385,0.165
Cleveland Cavaliers,2021,19.0,46.0,98.7,107.5,115.4,-7.9,-7.77,0.362,0.227,0.172,65.0,0.2923076923076923,0.13499999999999998
Dallas Mavericks*,2021,43.0,32.0,99.3,116.7,111.7,5.0,4.87,0.457,0.264,0.206,75.0,0.5733333333333334,0.193
Denver Nuggets*,2021,46.0,27.0,97.1,113.1,111.0,2.1,2.35,0.344,0.235,0.183,73.0,0.6301369863013698,0.10899999999999999
Detroit Pistons,2021,20.0,46.0,97.6,109.0,112.7,-3.7,-4.38,0.381,0.261,0.194,66.0,0.30303030303030304,0.12
Golden State Warriors,2021,15.0,50.0,100.3,105.2,113.8,-8.6,-8.12,0.355,0.264,0.212,65.0,0.23076923076923078,0.09099999999999997
Houston Rockets*,2021,44.0,28.0,103.7,112.9,110.1,2.8,3.13,0.501,0.288,0.228,72.0,0.6111111111111112,0.21300000000000002
Indiana Pacers*,2021,45.0,28.0,98.9,110.0,108.0,2.0,1.63,0.317,0.216,0.17,73.0,0.6164383561643836,0.101
Los Angeles Clippers*,2021,49.0,23.0,101.5,113.9,107.6,6.3,6.66,0.375,0.295,0.233,72.0,0.6805555555555556,0.08000000000000002
Los Angeles Lakers*,2021,52.0,19.0,100.9,112.0,106.3,5.7,6.28,0.358,0.276,0.201,71.0,0.7323943661971831,0.08199999999999996
Memphis Grizzlies,2021,34.0,39.0,102.8,109.2,110.3,-1.1,-0.91,0.346,0.24,0.183,73.0,0.4657534246575342,0.10599999999999998
Miami Heat*,2021,44.0,29.0,98.3,112.5,109.5,3.0,2.59,0.419,0.299,0.234,73.0,0.6027397260273972,0.12
Milwaukee Bucks*,2021,56.0,17.0,105.1,112.4,102.9,9.5,9.41,0.428,0.271,0.201,73.0,0.7671232876712328,0.15699999999999997
Minnesota Timberwolves,2021,19.0,45.0,103.4,108.1,112.2,-4.1,-4.02,0.433,0.277,0.209,64.0,0.296875,0.15599999999999997
New Orleans Pelicans,2021,30.0,42.0,103.7,110.7,111.9,-1.2,-0.55,0.403,0.256,0.186,72.0,0.4166666666666667,0.14700000000000002
New York Knicks,2021,21.0,45.0,98.6,106.5,113.0,-6.5,-6.72,0.318,0.263,0.182,66.0,0.3181818181818182,0.05499999999999999
Oklahoma City Thunder*,2021,44.0,28.0,98.8,110.8,108.8,2.0,2.33,0.353,0.29,0.231,72.0,0.6111111111111112,0.063
Orlando Magic*,2021,33.0,40.0,98.6,108.5,109.5,-1.0,-0.93,0.364,0.256,0.198,73.0,0.4520547945205479,0.10799999999999998
Philadelphia 76ers*,2021,43.0,30.0,99.0,111.3,109.0,2.3,2.25,0.36,0.255,0.193,73.0,0.589041095890411,0.10499999999999998
Phoenix Suns,2021,34.0,39.0,101.3,111.7,111.4,0.3,0.56,0.361,0.271,0.226,73.0,0.4657534246575342,0.08999999999999997
Portland Trail Blazers*,2021,35.0,39.0,100.7,113.7,114.8,-1.1,-0.61,0.374,0.242,0.194,74.0,0.47297297297297297,0.132
Sacramento Kings,2021,31.0,41.0,98.9,110.2,112.2,-2.0,-1.59,0.395,0.23,0.177,72.0,0.4305555555555556,0.165
San Antonio Spurs,2021,32.0,39.0,100.5,112.4,113.5,-1.1,-0.65,0.318,0.262,0.212,71.0,0.4507042253521127,0.055999999999999994
Toronto Raptors*,2021,53.0,19.0,100.9,111.1,105.0,6.1,5.97,0.421,0.264,0.21,72.0,0.7361111111111112,0.15699999999999997
Utah Jazz*,2021,44.0,28.0,98.6,112.3,109.9,2.4,2.52,0.414,0.268,0.208,72.0,0.6111111111111112,0.14599999999999996
